Datetime;Consumption;FeedIn;Production;Purchased;SelfConsumption
2024-05-01 14:45:00+02:00;254,01758;10422,6612;10676,6788;0;254,01758
2024-05-01 15:00:00+02:00;206,77539;7996,7784;8203,554;0;206,77539
2024-05-01 15:15:00+02:00;253,75293;10785,2548;11039,008;0;253,75293
2024-05-01 15:30:00+02:00;237,69336;10338,371;10576,064;0;237,69336
2024-05-01 15:45:00+02:00;109,91846;8076,1132;8186,0318;0;109,91846
2024-05-01 16:00:00+02:00;293,51074;9387,316;9680,8272;0;293,51074
2024-05-01 16:15:00+02:00;302,78028;9542,459;9845,2392;0;302,78028
2024-05-01 16:30:00+02:00;220,86718;4879,4926;5100,36;0;220,86718
2024-05-01 16:45:00+02:00;297,43994;6550,2476;6847,6876;0;297,43994
2024-05-01 17:00:00+02:00;298,24072;7586,9716;7885,2124;0;298,24072
2024-05-01 17:15:00+02:00;295,93212;6832,3168;7128,249;0;295,93212
2024-05-01 17:30:00+02:00;276,12842;5819,771;6095,8994;0;276,12842
2024-05-01 17:45:00+02:00;252,06543;2951,7676;3203,833;0;252,06543
2024-05-01 18:00:00+02:00;156,4292;5385,3594;5541,7886;0;156,4292
2024-05-01 18:15:00+02:00;145,31152;4146,2432;4291,5546;0;145,31152
2024-05-01 18:30:00+02:00;122,572754;3197,2232;3319,796;0;122,572754
2024-05-01 18:45:00+02:00;139,987548;2513,7784;2653,7658;0;139,987548
2024-05-01 19:00:00+02:00;124,35364;1875,9744;2000,328;0;124,35364
2024-05-01 19:15:00+02:00;118,132812;1258,8176;1376,9504;0;118,132812
2024-05-01 19:30:00+02:00;155,87896;226,76138;382,64036;0;155,87896
2024-05-01 19:45:00+02:00;216,47552;64,19136;243,20042;37,466454;179,00906
2024-05-01 20:00:00+02:00;204,77292;0,34730664;142,88236;62,23787;142,53505
2024-05-01 20:15:00+02:00;207,72742;0;190,12059;17,606826;190,12059
2024-05-01 20:30:00+02:00;202,74658;0;180,43895;22,307626;180,43895
2024-05-01 20:45:00+02:00;219,71052;0;187,81996;31,89056;187,81996
2024-05-01 21:00:00+02:00;235,75898;0;178,92506;56,83392;178,92506
2024-05-01 21:15:00+02:00;259,4087;0;215,634812;43,773868;215,634812
2024-05-01 21:30:00+02:00;257,1939;0;241,29013;15,9037866;241,29013
2024-05-01 21:45:00+02:00;127,617012;50,6912;178,308212;0;127,617012
2024-05-01 22:00:00+02:00;127,708336;49,84896;177,5573;0;127,708336
2024-05-01 22:15:00+02:00;332,89744;18,099626;288,63098;62,366086;270,53134
2024-05-01 22:30:00+02:00;502,95984;84,998826;561,1544;26,804268;476,15558
2024-05-01 22:45:00+02:00;1880,1706;5,0476804;1806,1106;79,10784;1801,06286
2024-05-01 23:00:00+02:00;344,07786;0;268,95166;75,12619;268,95166
2024-05-01 23:15:00+02:00;322,96026;35,94688;307,82104;51,086082;271,87418
2024-05-01 23:30:00+02:00;310,86438;0;297,22492;13,6394672;297,22492
2024-05-01 23:45:00+02:00;300,97266;0;240,00795;60,964694;240,00795
2024-05-02 00:00:00+02:00;265,09964;0;217,69824;47,401386;217,69824
2024-05-02 00:15:00+02:00;246,59408;0;230,65062;15,943466;230,65062
2024-05-02 00:30:00+02:00;316,74006;0;247,25226;69,487786;247,25226
